timestamp,device_id,lat,lon,speed_kmh,altitude_m,satellites
2026-03-27T07:33:31+00:00,Andre,-34.122583,22.104357,59.3,51.5,5
2026-03-27T07:33:46+00:00,Andre,-34.121361,22.103808,47,32.8,5
2026-03-27T07:34:45+00:00,Andre,-34.119179,22.100406,2,10.7,8
2026-03-27T07:37:06+00:00,Andre,-34.113539,22.102958,0.1,-2.3,9
2026-03-27T07:37:07+00:00,Andre,-34.113538,22.102957,0.1,-2.4,9
2026-03-27T07:39:33+00:00,Andre,-34.113525,22.102895,0,3,9
2026-03-27T07:39:43+00:00,Andre,-34.113529,22.102895,0,2.9,9
2026-03-27T07:39:53+00:00,Andre,-34.113531,22.102898,0.1,2.9,9
2026-03-27T07:39:59+00:00,Andre,-34.11353,22.102905,0.1,2.2,9
2026-03-27T07:40:00+00:00,Andre,-34.11353,22.102906,0,2.1,9
2026-03-27T07:42:14+00:00,Andre,-34.113492,22.102929,0,-4.8,9
2026-03-27T07:42:22+00:00,Andre,-34.113487,22.102926,0.1,-4.7,9
2026-03-27T07:42:33+00:00,Andre,-34.113479,22.102929,0,-4.4,9
2026-03-27T07:42:41+00:00,Andre,-34.113477,22.102931,0.1,-3.7,9
2026-03-27T07:42:48+00:00,Andre,-34.11348,22.102936,0,-4.2,9
2026-03-27T07:42:59+00:00,Andre,-34.113486,22.102918,4.8,-5.5,9
2026-03-27T07:43:05+00:00,Andre,-34.113565,22.102784,11.1,-3.1,9
2026-03-27T07:43:05+00:00,Andre,-34.113565,22.102784,11.1,-3.1,9
2026-03-27T07:43:17+00:00,Andre,-34.113725,22.102595,12.4,-1.2,9
2026-03-27T07:43:23+00:00,Andre,-34.113642,22.102377,10.7,-0.6,9
2026-03-27T07:43:38+00:00,Andre,-34.113624,22.10231,0.1,0.6,9
2026-03-27T07:43:58+00:00,Andre,-34.112672,22.10259,59.4,2.1,9
2026-03-27T07:44:05+00:00,Andre,-34.11168,22.103502,75.4,2.2,9
2026-03-27T07:44:12+00:00,Andre,-34.110816,22.104496,58.3,2.1,9
2026-03-27T07:44:18+00:00,Andre,-34.11022,22.105208,59,1.7,9
2026-03-27T07:44:25+00:00,Andre,-34.109486,22.106144,54.7,1.2,9
2026-03-27T07:44:32+00:00,Andre,-34.109269,22.106844,38.7,1,8
2026-03-27T07:44:39+00:00,Andre,-34.109796,22.107803,63.4,2.4,8
2026-03-27T07:44:46+00:00,Andre,-34.109995,22.109031,62.5,2.3,9
2026-03-27T07:44:52+00:00,Andre,-34.109463,22.109983,63.2,5.2,9
2026-03-27T07:44:58+00:00,Andre,-34.108681,22.110675,69.5,8.8,9
2026-03-27T07:45:06+00:00,Andre,-34.107394,22.111771,80.5,14.5,9
2026-03-27T07:45:15+00:00,Andre,-34.105752,22.113176,102.6,17.6,9
2026-03-27T07:45:22+00:00,Andre,-34.104173,22.114456,115.4,20,9
2026-03-27T07:45:29+00:00,Andre,-34.102458,22.115798,118.3,23.6,9
2026-03-27T07:45:35+00:00,Andre,-34.100969,22.117,120.8,29.2,9
2026-03-27T07:45:41+00:00,Andre,-34.099451,22.118239,122.4,37.7,9
2026-03-27T07:46:01+00:00,Andre,-34.09483,22.122893,122.4,63.1,8
2026-03-27T07:46:11+00:00,Andre,-34.093193,22.125874,121.3,50.9,9
2026-03-27T07:46:21+00:00,Andre,-34.091422,22.128984,125.3,31.1,9
2026-03-27T07:46:31+00:00,Andre,-34.089345,22.131797,124.9,12.2,9
2026-03-27T07:46:43+00:00,Andre,-34.086805,22.135089,124.3,1.9,9
2026-03-27T07:46:49+00:00,Andre,-34.085534,22.136735,124.5,0.2,9
2026-03-27T07:46:56+00:00,Andre,-34.084047,22.138657,124.5,0.4,9
2026-03-27T07:47:03+00:00,Andre,-34.082561,22.140583,124.7,1.1,9
2026-03-27T07:47:11+00:00,Andre,-34.080859,22.142779,123.5,1.7,9
2026-03-27T07:47:11+00:00,Andre,-34.080859,22.142779,123.5,1.9,9
2026-03-27T07:47:11+00:00,Andre,-34.080859,22.142779,123.5,1.7,9
2026-03-27T07:47:45+00:00,Andre,-34.074525,22.152918,124.7,6.6,9
2026-03-27T07:47:57+00:00,Andre,-34.072749,22.156882,124.7,8.3,9
2026-03-27T07:48:04+00:00,Andre,-34.071705,22.159191,124.6,9.1,9
2026-03-27T07:48:12+00:00,Andre,-34.070524,22.161836,124.5,10.2,9
2026-03-27T07:48:20+00:00,Andre,-34.069338,22.164477,124.6,11.7,9
2026-03-27T07:48:26+00:00,Andre,-34.068448,22.166455,124.5,14.2,9
2026-03-27T07:48:34+00:00,Andre,-34.06729,22.169116,124.8,17.2,9
2026-03-27T07:48:40+00:00,Andre,-34.066589,22.171209,124.7,19.3,8
2026-03-27T07:48:46+00:00,Andre,-34.06589,22.173298,124.8,21.5,8
2026-03-27T07:48:53+00:00,Andre,-34.065104,22.175748,124.5,24,9
2026-03-27T07:48:59+00:00,Andre,-34.06441,22.177836,124.4,28.9,9
2026-03-27T07:49:05+00:00,Andre,-34.063713,22.179921,124.5,35,9
2026-03-27T07:49:12+00:00,Andre,-34.062902,22.182351,124.2,44.5,9
2026-03-27T07:49:18+00:00,Andre,-34.062202,22.184429,124.2,54.1,9
2026-03-27T07:49:24+00:00,Andre,-34.061605,22.186555,124.6,64.4,9
2026-03-27T07:49:31+00:00,Andre,-34.061141,22.189118,124.3,76.2,9
2026-03-27T07:49:37+00:00,Andre,-34.060814,22.191341,125.3,83,8
2026-03-27T07:49:47+00:00,Andre,-34.060256,22.195055,125.6,86.2,8
2026-03-27T07:49:54+00:00,Andre,-34.059853,22.197648,125.5,81.7,9
2026-03-27T07:50:01+00:00,Andre,-34.059441,22.200243,125.4,74,8
2026-03-27T07:50:08+00:00,Andre,-34.059053,22.202832,124.8,65.9,9
2026-03-27T07:50:15+00:00,Andre,-34.058663,22.205412,124.4,59.8,9
2026-03-27T07:50:22+00:00,Andre,-34.058273,22.207992,124.6,55.5,9
2026-03-27T07:50:33+00:00,Andre,-34.057876,22.212098,125.1,48.3,8
2026-03-27T07:50:40+00:00,Andre,-34.057725,22.214726,125.1,44.1,8
2026-03-27T07:50:57+00:00,Andre,-34.055736,22.220527,125,21.1,9
2026-03-27T07:50:57+00:00,Andre,-34.055736,22.220527,125,19.2,9
2026-03-27T07:53:23+00:00,Andre,-34.044514,22.268532,123.9,60.6,8
2026-03-27T07:53:30+00:00,Andre,-34.044062,22.271045,124.3,72.1,9
2026-03-27T07:53:40+00:00,Andre,-34.044171,22.274746,124,86.4,8
2026-03-27T07:53:49+00:00,Andre,-34.042834,22.277688,124.8,105.6,9
2026-03-27T07:55:56+00:00,Andre,-34.027306,22.316332,124.3,183.6,8
2026-03-27T07:56:02+00:00,Andre,-34.026688,22.318455,124.7,182.6,9
2026-03-27T07:56:09+00:00,Andre,-34.025977,22.320938,124.8,181.7,9
2026-03-27T07:56:19+00:00,Andre,-34.024952,22.324489,124.9,180.7,9
2026-03-27T07:56:24+00:00,Andre,-34.024428,22.326258,125.1,179.9,9
2026-03-27T07:56:38+00:00,Andre,-34.023079,22.331263,125.4,172.3,9
2026-03-27T07:56:48+00:00,Andre,-34.023035,22.335027,125,155.5,9
2026-03-27T07:56:58+00:00,Andre,-34.02294,22.33878,124.8,137.7,9
2026-03-27T07:59:03+00:00,Andre,-34.011409,22.382459,126.1,180.8,9
2026-03-27T07:59:09+00:00,Andre,-34.010784,22.384596,125.3,181.6,9
2026-03-27T07:59:16+00:00,Andre,-34.010109,22.387105,124.8,178.9,9
2026-03-27T07:59:17+00:00,Andre,-34.010016,22.387459,122.9,178.2,9
2026-03-27T07:59:36+00:00,Andre,-34.008586,22.394131,128.2,164.8,9
2026-03-27T07:59:42+00:00,Andre,-34.008479,22.396363,122.1,156.1,9
2026-03-27T07:59:53+00:00,Andre,-34.008967,22.400215,111.2,154,9
2026-03-27T08:00:00+00:00,Andre,-34.009279,22.402528,113.3,161.9,9
2026-03-27T08:00:06+00:00,Andre,-34.00948,22.4045,97.2,172.8,9
